writer_SubjectID,Story_No,Story_Content
48,11,"She is angry about being yelled at yet again. It gets old dealing with a ""know it all, I do nothing wrong"" type person. No matter what happens it's always she does nothing right and know it all is perfect. It doesn't make it any better that it is everybody that gets yelled at. She could leave but maybe it will pass when menopause passes or maybe it will get worse. Who knows? She is just tired of it and has started to strike back. Maybe that is the answer. "
90,12,Laying down on the couch while watching hell's kitchen with my husband.  Talking to him about a rocky relationship between a friend and I when my husband suggested maybe I'm just not good at emotions and inferring that it's my fault the friendship isn't working.  I remember sitting there being so upset and I couldn't even find the words to explain to him how upset that made me.  
193,13,"One faithful day I and my spouse went to the cinema to watch a movie, on our way going to the cinema my spouse wanted us to watch a particular movie then I insisted we should watch another movie. She wasn't happy, then we concluded to watch the movie she wanted. At the end of the movie she then told me that she didn't enjoy the movie, that the movie was boring. I wasn't happy with her complain and I was angry with her. "
42,14,"I was standing in the bedroom and excited about an event that just happened outside with some birds at the feeder. I wanted to share this information with my husband who had just walked in the room. I have ear congestion and pain from allergies, and it is difficult to hear. I started to tell my husband about the bird events outside, but was too loud and he literally said, ""shuush"" to ask me to be quiet. It made me feel like I was a small child, when I was supposed to be quiet, never loud or rock the boat. Literally seen and not heard. It made me feel quite sad, and a few tears even came to my eyes. My husband did feel bad for shushing me, and also said that he was just suffering from a headache. I didn't like this at all and felt quite bad at the time."
211,15,"I was waiting outside of the conference room at the conference downtown that my wife was helping to run.  I was surprising her, she didn't know I was there. When she came down the hall she was walking with a conference attendee who I had heard about through her work stories.  He seemed to be flirting with her.  I didn't know him to flirt with her from her stories.  She had left that out.  She was surprised to see me and a little guilty looking.  She introduced me to the colleague, and he then continued walking without her.  The two of us went to lunch, and I was a little perturbed, we never really talked about it but I could tell she was uncomfortable."
141,16,"We are discussing which house to buy. We are disagreeing because we both want a different house, but are each trying to weight the pros and cons. I'm seeing it from a third person perspective, and trying to envision their thoughts."
104,17,"Two people on the couch, it's getting late, the male is tired, discussing  something with the female. Female seems disgusted and yelling at the male. Dog is also there. Dog appears pissed off at male"
161,18,"I feel tired. Just finished running errands. Prior to that, I had a long 8 hours of work. My wife had the day off. I was hoping to nap. But she mentions that she will be hanging out with her friends and I'll need to take care of the kids. I felt tired and confused."
117,19,"My husband and I were supposed to be getting ready to go to our friend's house for a lunch. I was trying to get dressed and brush my hair and everything I needed to go, and also get our one year old ready as well. I was changing his diaper, getting him dressed, and making sure his diaper bag was packed. I also had to make sure we had everything else we needed. I was upset with my husband because while I was doing all of this, he was painting some of his models for a tabletop game instead of helping. When I got upset with him after everything was ready, he got mad that I didn't ask him to help. I was mad that he thought I needed to ask for help instead of just helping without me asking. I was afraid he would be irritated with me if I told him I was annoyed. My parents would get mad at me for doing that as a kid, and my husband said that I should be over that by now because we have been together for six years. It really upset me when he said that and I didn't want to talk to him anymore. Eventually we both apologized but I still felt hurt by what he said. "
174,20,"I looked at the email and I saw the offer of the fitbit.  It felt like a betrayal.  It was clear to me that there was a desire to continue a connection.  It felt like actions and words weren't matching up.  I went back and looked at it again.  The phone felt heavy in my hand.  I felt justified in what I was doing.  I felt hurt.  I felt anger.  I began to fantasize about confronting her, but tried to tell myself not to.  I knew that I would anyway.  I felt angry at myself for continuing to be in this situation. I put the phone back where it was a couple times, and looked at it again a couple times to be sure I had read things correctly.  I felt afraid and stupid and thought I should be braver than I was in that moment.  But I knew deep down that I interpreted correctly what I saw and that words and actions were once again not matching up.  It's getting hard to keep writing. It was a small situation and I've basically described it here.  thee space just keeps getting longer and longer"
80,21,"My wife had just come home from spending the day with an old friend from her childhood. She had taken our infant daughter along and they had gone to hang out at the pool of her friend. She ended up bringing the friend home as well since he had nothing to do that evening. He ended up sticking around for most of that weekend and many others. While I had been fine with her old friend I was not happy that she'd brought him home to hang out. My wife and daughter lived in another state at the time and we only got the summer together while she was on break so our time was limited and precious. It angered me that she had decided to split that time between our family and this guy who did not have a life of his own. In the end it turned out that he had mental issues, possibly PTSD as he was a soldier, and the friendship soured. To me it felt like she'd wasted a lot of our summer by having this guy around who could have been dangerous."
128,22,"I called my husband 1 hour before his closing hour to ask if he was still up for our initially planned dinner date, he startled for a second and then grumpily replied that he was still on, but had to first pick up something for his brother before coming home. An hour past and he hadn't shown up I quickly called his brother to ask, only to find out that he was lying and hadn't gone to get anything for him. He showed up at home an hour late and requested I hear him out, that something really important came up at work which he volunteered to sought out on behalf of his organization and he had no choice but to lie."
124,23,"I am yelling with anger, asking how could I be betrayed and backstabbed like this. He is asking me, how did I betray you? I ask him, how is this not betraying my trust? Am I not supposed to feel hurt? You have humiliated me! I feel totally humiliated now! If anybody knew, if I were to tell anybody, I would be humiliated! This is completely humiliating to me! He merely says, nobody needs to know except for him and me. This doesn't concern anyone else. He did this and that's it. It involved him only. He did it, he paid for it to be done (literally and figuratively, in my mind) and that's it. It happened and it's over with now, he says. That is his justification. That is all he can offer me. He can say nothing else except for that. He cannot even offer so much as an apology in person. Yes, via text message, but text is one thing and in person is another. I will have to either accept it and live with it or let it eat me up."
72,24,"We had been married about 5 years and I don't know what triggered it, but we'd always joked with each other a lot.  There came a time when it felt like I couldn't ""pick"" with him anymore, because he immediately got defensive or angry.  We were facing off in the kitchen, which was a hideous yellow color.  I had my hands clenched and I was so angry and upset and over the whole thing, I finally asked him why we were even married, what was the point if he was going to get upset constantly.  He blew it off and looked irritated until I said ""I'm serious, why."" and I think he realized it was serious.  His expression changed from defensive to actually upset."
82,25,"I see myself and my wife in our house.  We are sitting on the couch.  I see myself getting frustrated while we talk about some recent purchases my wife has made.  I see myself getting upset and starting to raise my voice.  I see myself talking about how upset I am - that I am upset because I think she is spending too much money on things that we don't need.  I see my wife responding and saying that they are things that she needs - that it's her money - that I should not be upset.  I see the argument go on for some time, with both of us arguing and generally being rigid in our positions.  I see myself getting more upset and saying hurtful things, until the conversation ends with us separating and going to different rooms."
39,26,"We were sitting in the living room of our house. I was on the couch under the front windows. She was on the couch opposite. We were talking about my gender identity issues. I don't think she was in a great head space, but I don't think that I picked up on it at the time. Later recalled thinking that I should have picked up in her tone of voice that she was already unhappy. But without much context she asked who I would I like to look like if I presented as a woman. I named someone without thinking much about it, but someone who is very femme. She said something to the effect that she could never be attracted to someone who looked like that."
1,27,"There is a family of four sitting at the table. On the table is fettuccini noodles, alfredo sauce, broccoli, chicken, and garlic knots. The woman is the last to sit at the table, and begins to serve everyone. After everyone has food, they begin eating. The man picks up a garlic knot, turns it over and observes it. He takes a bite, then looks at the woman. He asks her if she did anything different with the garlic knots. Perhaps she cooked them too long. The woman gets upset and tells the man that no, she cooked the  same amount of time. She just didn't use the silicone pad on the cooking sheet because she didn't want yet another dish to wash after dinner. She was tired after working all day, and had already spent over an hour making the garlic knots from scratch. The man looks at the woman, finished the garlic knot, and eats the rest of his dinner in silence. He doesn't eat another garlic knot, and the woman spends the rest of the dinner talking to the kids about their day."
148,28,2 years ago my wife cancelled a trip with me for his friend's birthday party. I got very angry for this.
168,29,"He is sitting there looking obviously frustrated. He was just talking with his fiancé via Facetime. She was leaving the bar in an Uber and talking with him, but also talking to her Uber driver. She got excited that the Uber driver was playing her favorite song and hung up on him so she could ""jam out"". It's been 30 minutes now for a 5 minute drive, and she hasn't called him back. Right now he's worried that something has happened to her, and visibly upset that he hasn't heard from her. Finally, she calls, and he can here in the background the driver calling out of the window, ""Thanks for the good time!"" In an outrage, he yells into the phone ""What the hell does he mean by that!"""
44,30,"To me, I see my partner as an arrogant person, she refuse to believe that she is at fault or even ask forgiveness. It was the wedding event of my good friend, I told my partner one month before the wedding, but because I shouted at her for wasting money on a single hand bag, except her to explain but she started keeping malice, on the day of the wedding, I taught she have forgetting about that but instead she told me that her childhood friend's wedding the same day."
215,31,"After not seeing my husband all day he came home and didn't say more that a few word to me and spend the next several hours on his phone looking at college football recruiting stuff. This hurt my feeling as I had been home with the baby all day with no adult interaction and look forward to him being home, but he seemed to be more interested in where 18 year old's are going to college to play football than he was in his wife and child. When I approached him on this he got defensive and all pissy. This leads me to not bring it up anymore because it makes my feeling seem irrational. "
154,32,"A man has just called a women and said that he is indeed working late tonight, because of this the women is visible upset and angry. She saying this always happens when we make plans and it isn't fair to be happening so close to the planned plans."
46,33,"When I was pregnant with our second child, my husband had quit his job without asking or telling me first. He then said he was going out with some of his former co-workers for happy hour. He left the house about 4:30 in the afternoon for ""happy hour"" and came home around 2:00 am.  I then found a receipt from the bar they had gone to for $150, which meant he had probably been buying drinks for everyone he met that night.  He continued to lie about this fact and said he had paid for his co-workers and they had given him cash.  When I pointed out that there was no cash in his wallet he continued to revise his lies until I just stopped talking to him altogether."
207,34,"I see myself sitting at our table. Me and my significant other are discussing our lives with a couple of my co-workers. B, an alias for one of my co-workers, is talking about his travels and his freedom as a bachelor. I see my wife exclaim at his stories and touch his arm while laughing about how she'd love to be able to travel around the world like him. I see myself forcing a smile at the interaction."
157,35,"I noticed some changes in her characters, I took my time to find out what was wrong but all she said was that she's fine. I knew something was wrong somewhere, then she started coming home late at nights, lying to me that she spends so much time at work. Then one day, I decided to go check her at her workplace around 5pm in the evening, then one of her colleagues told me she went on a date with a man, I got to know the address of the restaurant, I took a cab down there and to my utmost surprise, I met them kissing each other, she was shocked to see me. I left after knowing that she was cheating on me, I filed for a divorce afterwards, but after all pleadings, I accepted her back."
9,36,"I walked into the house.  The dining room table was in front of me.  We were in the kitchen.  My Husband was standing at the edge of the sunroom.  He said ""I can't do this anymore.""  I asked what he was talking about.  He said the amount of time I was spending with my family was too much.  I began pacing the kitchen back and forth.  I started crying.  We continued the discussion.  I pointed out the amount of time we spend with his family -weekly.  I noted that I only got to see my family about once a month.  My family was further away which took more time to visit- almost an entire day.  We came to an agreement about how much time to spend with each family without us feeling it was unfair.  "
214,37,"The wife was upset with him because he wasn't spending quality time with the family because of work. So he arrived one day from work to meet her brooding, in an attempt to get close to her to pacify her she yells at him ""leave me alone you cheater"""
125,38,I had always worked out or did some type of exercise during my lifetime and also played sports all of my life. Well just before the pandemic happened I hurt myself and was out for an extended period of time. I started to exercise again but then the pandemic happened and I couldn't work out like I wanted to so I stopped all together. Well my wife had been so use to me looking fit and having muscles and being in shape that that visual was stuck in her mind. well I started getting fat and she said she wasn't attracted to me anymore. 
63,39,I am imagining sitting in a chair. I am thinking about that I am waiting for a call. I am just sitting there and thinking the call could come. I am staring at the phone. It is getting late. I am wondering if the call is ever coming. It is getting just later and later. I am just going to change clothes now. I'm going to eat a snack. I'm going to go about my evening. I'm just going to have some fun. I'm not going to think too much about this. I'm just going to focus on myself. I don't want to be sitting here anymore. I don't want to do anything more. I'll just watch TV now. I'll just relax now and have a nice day. I'll have some fun later. This will be fine to me and I'll just be here.
180,40,"On a faithful day, these couples began arguing over who is/was suppose to dress their children for school. The woman has always done that and this time around, she wanted her husband to do this out of his kind gestures but did not tell him, not until the school bus arrived and the children were still not ready for school. This single act made the man so furious and angry."
150,41,I am observing myself and my romantic partner in a discussion at a restaurant.  I can see them both speaking passionately and they are both somewhat animated when they speak.  They are discussing responsibility and maturation as an adult and my partner is mentioning that they think I was coddled growing up and lack responsibility in adulthood in certain areas.  I am responding and denying this notion vigorously while she listens and continues to speak.  I can picture the bar and table where we are seated vividly and the reaction of each partner as they continue to converse. 
197,42,"I am sitting on the couch next to my wife, and we have three other family members visiting. We are all in the living room playing a video game by the name of Super Smash Brothers Ultimate on the Nintendo Switch Entertainment System. The five of us play against each other and it quickly becomes clear that I am the best player at the game. My wife becomes upset at losing the game and lashes out at the rest of us. We implore her to take it easy because it is just a game. But she continues to stay heated over the game. Eventually cooler heads prevail and we let bygones be bygones. We apologize to each other and continue on with our night without playing more games."
212,43,"She cheated me two years. I was so busy at work when I got home I was so tired and can't even eat any food because I was so frustrated at work, so as I enter the house I met my wife inside master bedroom feeling uncomfortable and I ask her what the matter with you, she was vibrating and suddenly a young man came outside from under my bedroom and he started to beg me and explain to me that it was a mistake not intentionally that he can explain to me better but I could give him chance to say a single words, I arrest him and hand him over to the policemen to punish him. I was mad at my wife and I was so sad and I feel like killing her then.  "
209,44,It was my birthday and we had plans. We had just started seeing each other and J got a call from another friend. She told me that we would finish up what we were doing but then she was going with her other friend. Normally this is fine by my but this was interfering with what we had already set time aside for. I wasn't happy and I made that clear. I felt neglected and possessive at the same time although that's not normal for me. I was really upset that she'd just abandon our plans for something that wasn't a serious issue or for someone who really wasn't in need of anything detrimental at that moment. We both apologized to each other the following day.
8,45,"Viewing the scene from a third-person visual perspective, we are looking down into an open space room where there are two adults, one male and one female. The male is pacing in from the bedroom and takes a route to the main front door, turns around and paces back through to the bedroom. He appears agitated and angry. The female is sitting on the couch near the mid-point of his pacing path. Her eyes are puffy and there is a tissue box beside her, clearly being used. It appears she gently says something to him which causes him to pause. He takes a moment to process this information, stares straight at her and responds back. She breaks down crying, she is hurt by his response."
136,46,"D went out golfing with J and began drinking and continued to drink all day. D was the only parent watching the kids and household while D's wife was attending a wedding in North Carolina. D did not stop drinking and got black out drunk. When D came home, he horrified the kids with his condition and they began texting and calling their mother.  Their mother was too far away to help the situation and could only provide support and comfort over the phone. D proceeded to yell, scream and break things. He put holes in the wall and broke picture frames shattering glass all over several rooms. He eventually passed out but his wife was livid that he would put his children through this type of irresponsible event.  His wife was going to leave  him, but he joined AA and has been sober every since."
73,47,"During an argument with my partner, I went upstairs to calm down. I felt like I need to take a moment alone as I was overwhelmed. My partner came upstairs and said that someone we both knew was right, that I was a cold person. I was especially hurt because I did not like the person we both knew, and did not respect them, so I was very upset that my partner would use their words against me. The words were also hurtful. I feel very hurt and betrayed by my partner. My partner did apologize later and brought me flowers. I have forgiven him, but it is an event I won't easily forget. I felt very sad in the moment and deeply disappointed.  "
2,48,"Late night. My dear husband somewhere, probably alone , lost soul. Trying to call several times with no effect. Few hours later completely drunk with no remorse. In response I hear ""sometimes when you're drunk you can see better"""
188,49,"I see the living room of the house. A and K were arguing about the behavior of A's dog. His dog tried to attack K's cat, so K was yelling at the dog, but K stopped to argue with A about whether or not his dog should be punished. K began to cry. A shook his head in disdain. K kept crying and finally shouted that A cared more for the dog than about her needs. K was still crying when A then said that K needed to stop because she is being stupid. K became enraged that A said she was being stupid and the argument escalated to be about whether or not it is ok for A to tell K she is being stupid. K's feelings were visibly hurt."
190,50,"In the event I just pictured, I could see how my face was looking after my wife stood me up in my company's anniversary dinner. That very day I could remember telling her how the dinner was very important to me if she could cancel going to her mother's and go another day but she insisted on going and coming back to attend the dinner. But for some reason her phone battery went off and I couldn't contact her to remind her and she got carried away that she forgot to attend my date. On the dinner date I could see how everybody was looking at me with awkwardness written all over their face.  "
93,51,This event took place after our marriage. So I wanted to make sure that every person was happy in that time. So I always make sure that they are happy with my decision. So I made some sacrifice for them and still doing that. But my wife was over possessive towards her brother's children. So once I was doing my office work and the child was playing I saw he was moving towards outside and my wife was there so I thought he will be safe but he has fallen down and my wife became furious and questioned about my responsibility and also cursed me for this.
147,52,"J is laying down in bed. J and M can both can hear the young daughter crying in the next room. Despite that fact, J's wife, M, stays in bed knowing that J will get up before M does and is more sensitive to the crying. J does, and he goes in to soothe the young daughter who appears quite upset in the middle of the night. J spend many hours doing this each night and rare does J's wife help. J brings this to her attention and say that the main reason she doesn't get up is because she knows that J will always get up first and that she pretends to not hear it. J is very upset that M would do this, and M is very upset that she is being accused of doing as such. "
77,53,The guy traveled out of town for business and specifically told the wife not to go out that weekend but she went out to club with her friends
107,54,"My wife just bought a very expensive vacuum cleaner that was much more than our budget. She bought it right after we had an argument, probably about money, but it was definitely not specifically about the vacuum cleaner. The point is, I hated the vacuum cleaner with a passion and resented it every time I used it because I thought it was under-powered and not reliable enough to justify all of the cost. I didn't yell, but I gave my wife the silent treatment for a while and she did the same to me. This was one of our biggest fights, and neither of us can believe it's over a stupid vacuum cleaner. But of course, it's about more than just that - it's about what the vacuum represents."
6,55,"A husband and wife are sitting on a bed arguing. There are photos on the walls in this room of a family with their children, but the husband and wife sitting on the bed are not in the pictures. The husband and wife do not live here; they are only housesitting while the homeowners take a Christmas vacation. The wife is angry and gesticulating wildly with her hands. The husband is quiet. The wife shouts her frustration with her husband for making plans with his friends for New Years Eve when the wife expected to spend the evening with him. She does not want to spend the holiday alone in a strange house. Her meanness startles the husband, and he says nothing for a long time. "
172,56,"We were in the hallway in the house. I was trying to discuss my plans for inviting people to a cruise, but she was stressed out by part of the activities we were discussing. She had her arms crossed which I noticed, and tried to make sure I did not mirror, since I feel that crossing arms leads you to be more defensive. I tried to explain and diffuse the situation but it just wasn't working out, and eventually she just apologized and walked away to end the conversation. I was left frustrated that I wasn't trying to cause any issues, and just get some good planning going, but was unable to. I'm not sure how my face looked, but I was trying to keep it as neutral as possible. "
81,57,"I'm sitting with my partner, complaining on how an event unfolded. She seems to understand but is not very interested as I have made the same complaint before. Later, she tells the person I was complaining about, how I felt. This wasn't something I wanted her to share. I see her telling this person, and he looks down and is disappointed, but I think he understands my frustration. Later, he confronts me and I can see he wanted me to tell him directly, he'd rather hear this from me, and not be told second hand. I agree, but by my body language I can tell that I'm uncomfortable while talking about all of this. "
112,58,"I had some Visa gift cards that I was going to use to buy Kroger gift cards. My husband was going to complete the transaction. There were about three individual gift cards. I was setting up an account that needed to link to our Kroger account at a later date. As I scrolled through, I saw that one of the gift cards had been used to purchase a Playstation gift card instead. I immediately confronted him about this. We have had trust issues in the past, so this is very concerning for me."
13,59,Three people talking at a bar that is crowded. Two people wander off and mix in to the crowd and the third is left alone not knowing where the other two went or what they are doing and seems concerned.
205,60,"I remember this event occurring during warmer weather.  It started out inside our house.  My wife got upset because I did not complete a household chose to her liking.  She was frustrated and continued to dwell on it.  I went outside to do somethings and speak to the neighbors.  She came outside and asked for me to come home.  When we crossed paths she yelled ""I hate you."" I ignored her and went on to complete my things."
52,61,"My wife was attending an HOA board meeting with other members of the HOA board. She asked me to be present at the meeting as well to observe how the other members treated her. She had told me previously that the other members did not listen to her, belittled her, and tried to brush off her ideas, and she wanted me to witness it. The meeting got very heated because my wife was correct, the other members were doing all she said, and it was making her angry. She finally had enough of the hate, called one of the board members an ugly name, and quit the meeting. I didn't agree with her that she should have called the board member a name, because they could  come after her for slander, but I completely understood why she was so upset."
106,62,"I am sitting on the couch and my wife is sitting on a chair in front of me. We are in our living room on a cold fall day talking about my parents and how my mom said something that upset my wife. My wife said something to the effect of ""My mom and me have made selfish decisions our whole life."" She later apologized for saying this, but at the time it upset me. I remember looking down at the floor when she said this, feeling upset and troubled. After she left I sat in the same place and gazed out the window and tried to cool down. She came back about 15 minutes later and we talked things out."
162,63,"A woman is sitting in a hospital bed. She is almost 41 weeks pregnant, and they need to induce labor so that she can deliver her child. A man is also there, her husband. He brought her to the clinic in a taxi, but he said that he must go back to work. This is their third and most likely last child together. The husband asks the nurse attending the woman in labor if it would take long, the nurse answers yes, that he should go to work as it most likely would take a while. The man then leaves, telling his wife that he'll be back later. The wife smiles and nods at him, telling him to have a good day at work. Behind the smile though, her eyes betray that she is rather upset that her husband is leaving her there to labor alone. As the nurses increase the pitocin and her contractions become more and more intense, the woman seems worried. About an hour and a half after her husband leaves for work, after an intense and painful labor, the woman delivers a healthy 8.5 pound baby boy."
183,64,"I asked my husband if we could maybe play with cards that I had purchased from Amazon that have various questions for partners to ask one another. I had specifically spent money buying these in order for us to have an activity to do together to bond and also because I feel like most nights we end up just sitting on the couch, barely talking. When I asked him if we could do this, he said he didn't really feel like it. It hurt me because a) he hadn't taken any initiative to figure out something to do b) I had spent money on these cards and it now felt like a frivolous purchase and c) it felt like he didn't want to spend quality time with me which was hurtful and made me upset."
66,65,"So the guy had already planned a decent birthday dinner for his girlfriend because he was cash crunched at the time. However, the girl receives a text from one of her admirers asking her about her birthday party. The girl said its just a small dinner. The admirer then told her to come over to his place that he could do a big party for her and she went. The guy was devastated"
116,66,"She was warming up lunch.  Now she is sitting on the sofa while the food is cooking, and she is discussing potential fence stains with her husband.  Her husband is emptying the dishwasher.  ""This didn't get clean,"" he says with frustration.  ""Well that didn't clean, either."" he said.  ""Nothing got clean!"" he said.  The dishwasher was full of a few large pots and pans from the night before of heavy cooking.  ""Those are big pots and pans"", she said, ""the dishwasher isn't good at getting those clean.  ""It's because you didn't put it on the heavy duty setting!  Whenever you run the dishwasher, you run it on the normal setting and nothing ever gets clean!  You always run it that way!""   ""Do you hear what you are saying to me?  The dishwasher didn't get the huge pots clean and automatically you just start blaming me.  Why do you do that?  Why is every random thing that goes wrong somehow, some way always linked back to me?"" she said.  "
153,67,I am picturing my wife and I standing there arguing about money. Her giving me crap about the money I have lost on sports betting and not being able to agree on a path forward on investing money. I am articulating so many ideas on how to invest the money that we have and she is not listening since she thinks I am dumb for losing the money that I lost. She doesn't appear to have any trust in me after that event and now we are in a point of contention going forward on all things related to money. This event happened around 2 plus years ago and at this point I wanted to invest in bitcoin. Imagine where we would have been if it was a yes.
3,68,"Husband had just started his new job and I knew he had a busy day and was going to be in meetings most of the day. I hadn't had much time with him lately and although he was in meetings, I'd hoped for a few messages throughout the day -- especially because I was having a trying day myself. He messaged me a couple of times but the messages were few and far between --even on his breaks he didn't take the time to call or exchange more than 1 message in less than twenty minutes. He only asked me one question in his messages the whole day and I felt really saddened and unimportant by these actions. "
176,69,After engaging in an argue with my wife we had been upset to one another for a long period of time.  We had an argue about our relationship. And she took it to the next level. At the end she admitted her fault but that really made me sad.     
30,70,"Sometimes in 2019, my Spouse and I made an arrangement to travel to Kenya for a vacation. My Spouse never told me he had cancelled all plans for the trip. He only told me three days to the trip. I was very furious on why he could do such a last minute cancellation. He told me he already cancelled it a month back due to financial constraints. The most annoying part was him sponsoring his mother's birthday a month after cancelling the Holiday."
10,71,"It shouldn't have gotten to that. A young black girl in her early twenties yelling at her boyfriend in the park at the still of the evening. It started with her boyfriend asking why she doesn't trust him and finds it hard to believe whatever it is he says. She didn't seem to be interested at first but he kept talking and it was as though she had enough already. ""I'm not a fool"" she yelled ""where were you last night"" I tried your phones but both lines wouldn't go through. I sent you a text, you read but you wouldn't reply. Only for me to go your apartment and find another lady's car parked outside. You lied to me, man, you lied!! I trusted you with everything but how do you pay me? Just leave me alone"
160,72,"My college date stood me up. It was early in our relationship and we had made plans to go out I came by the dorms to take her out, but she was gone and her room mate was unsure where she went or when she would return. So, bruised ego and unhappiness. Called the next day to find out what happened and she said her high school girl friend had arrived from out of town and they had gone into the city for the day. My beef (verbalized) was that she could have at least called to let me know.  I understood the surprise visit and would have been fine with postponing our date, but was unhappy about not being considered. Not so much angry as disappointed  sort of an index to how much I mattered"
151,73,"This happened earlier this week. I had just finished work. I was feeling tired from the long weekend. My wife also had just come home from work. The event happens in the kitchen, while my wife is in the living room with our daughter. I am making dinner and make a comment about how I need help with dinner. This turns into an argument where my wife tells me I don't do enough around the home. Our daughter is playing with toys, while my wife and I argue about me helping more around the house. I was visibly hurt, because I felt I had been doing quite a bit to help. My wife was hurt, because she felt that she had already done so much to help and needed a break. The argument takes place in front of the kitchen sink, which is next to the island in the kitchen. The island is also next to the oven/stove, which is where dinner was being prepared."
115,74,"She is sitting at the dinner table with a meal laid out.  Her husband walks in and grabs  some food but says he has to run, he's playing disc golf.  She worked all day then fixed dinner for the two of them, but he just picks up what he can eat on the go and leaves.  She is all alone now while he is off with his friends.  She looks at the food on the table but is no longer hungry.  She stands and packs everything away in the refrigerator.  She appears sad to have been left alone.  She watches tv by herself while he is out.  She is asleep in bed by the time he finally gets home."
195,75,"I was actually at home.  My wife was out with friends out of town.  She was at a resort for a party with about 5 or 6 of her friends.  I recall she had mentioned that she was having a good time and that she would call me before she went to bed.  I never heard back from her.  I called one of her friends that was there with her and she answered drunk and could not communicate with me well enough.  My wife called me the next day to tell me her cellphone had died and that she had not been having a good time because everyone was getting too wasted, which she isn't into.  So she returned back to the room early to charge her cell phone and fell asleep.  I was still disappointed. "
