"SubjectID","Text","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP","mem.age","CDI_coded","cond_p","Study_Code","mem_age","allWC"
138,"I am in a car with Dan, an old friend of mine that I had grown apart from, driving and his little brother Max sitting near me, as well as his friend Rich, who was an angry guy from a broken household. Dan and Rich are smoking, and the windows are partly down, My head’s near one of them so I can breathe; Max isn’t so lucky. The music’s loud enough to make my ears hurt, but I don’t have the assertiveness to ask to lower the volume. I don’t remember many seatbelts being worn. The car seems crowded, and Dan and Rich are dressed a bit punkishly. The car is a grayish boxy eighties car, like a Chevy or Pontiac.",69.85,31,63.95,57.02,20.17,13.22,86.78,53.72,11.57,9.92,7.44,0,0,1.65,0.83,1.65,10.74,12.4,10.74,2.48,9.09,2.48,14.88,8.26,3.31,0.83,1.65,2.48,6.61,4.13,2.48,0,0.83,1.65,8.26,0.83,2.48,0,3.31,7.44,1.65,0.83,0,3.31,0,3.31,3.31,0,2.48,0.83,2.48,1.65,0,0,0.83,7.44,2.48,0,4.13,0.83,0,4.13,10.74,0,12.4,4.96,6.61,0.83,0,0.83,1.65,2.48,0,0,0.83,0,0,0,0.83,0,17.36,4.96,7.44,0,0.83,0,0,0,0,4.13,0,0,22,16.78,1,"SAK",NA,121
147,"I am in physics class during one of the times that we are free to work on the assigned homework problems in groups. My best friend and I know the teacher, Mr. Clark, pretty well. We come in before school, during homeroom, and lunch often to get help with the homework and the labs that we mess up. So we were joking with him. Courtney, another girl in the class, makes some remark. I feel uncomfortable. She makes fun of us for being in physics so much and wants to know why we care so much or why we are there. I know that I don’t like the class anymore than she does, but don’t want to admit to having fun. My best friend and I probably received unfair treatment since we got to do extra credit projects, which I also didn’t want to admit to.",51.82,77.44,38.05,95.96,16.22,11.64,95.89,58.9,17.81,13.7,6.16,5.48,0,2.05,0,4.11,4.79,17.12,7.53,6.85,7.53,2.05,17.81,6.16,2.74,2.05,0.68,4.11,10.27,7.53,2.74,0.68,0,0,13.01,0,1.37,2.05,0.68,15.75,4.11,3.42,2.74,3.42,0,2.74,1.37,0,0.68,0.68,0.68,0,0,0,0.68,13.7,8.22,2.05,3.42,2.74,0.68,2.05,15.07,0.68,10.96,1.37,4.79,5.48,8.9,2.05,1.37,1.37,0,0,0.68,0,0,0,0.68,0,15.07,6.85,5.48,0,0,0,0,0,0,2.74,0,0,38,10.14,-1,"SAK",NA,146
148,"The US History classroom is sunny, it is late in the schoolyear – spring. Brett + I are standing by our seats. We are the first to arrive because we have Spanish together right across the hall the period before. (In Spanish, the assignment for that day was to bring in an object and tell about it + describe it to the class in Spanish. I brought in a jar of fetal cats from a vet’s office and Brett brought a Pirhanna embedded in a piece of glass.) We are both holding our dead animal *show + tell* props from Spanish class. Brett comments that we both brought dead animals for Spanish + I agree. (I think Brett seems like a cool person – I have a couple of other classes w/ him – and kind of have a crush on him, so I want to say something to continue the conversation. But I can’t think of anything so the exchange ends + the rest of class finds its way in.",92.84,77.05,73.07,60.88,18,17.28,83.95,53.7,15.43,9.88,4.32,4.32,0,1.23,0,5.56,11.11,16.67,5.56,1.85,4.32,0.62,14.2,1.85,1.23,0,0.62,2.47,1.85,1.85,0,0,0,0,9.88,0,0,0,1.23,7.41,2.47,0.62,0.62,2.47,0,1.85,2.47,1.23,0.62,0.62,0,0,0,0,0,6.17,5.56,0.62,0,0,0,2.47,12.35,0,17.9,3.09,9.26,5.56,4.32,0,0,0.62,0,1.23,1.85,0,0.62,1.23,0,0,14.81,5.56,1.85,0,0,0,0,0,0,1.23,1.85,4.32,48,29.99,-1,"SAK",NA,171
152,"A FEW OF MY FRIENDS & I WERE COMPLETELY INFATUATED W/ OUR 22 YR. OLD CHEMISTRY TEACHER, SOPHOMORE YEAR. WE WERE STANDING IN LINE TO GET LUNCH & WE WERE TALKING VERY “FAVORABLY” ABOUT HIM WHEN WE REALIZED THAT HE WAS STANDING RIGHT BEHIND US IN LINE. OF COURSE, I WAS THE LOUDEST & THE MOST “GRAPHIC” W/ MY STATEMENTS – SO IT WAS EXTREMELY HUMILIATING. I TURNED RED, FELT AS THOUGH I WAS GOING TO CRY & TRIED TO IGNORE HIS PRESENCE AS HE STOOD BEHIND US, GRINNING.  ",34.21,90.47,37.24,3.31,16.8,21.43,88.1,54.76,21.43,19.05,7.14,7.14,0,4.76,0,2.38,3.57,14.29,8.33,8.33,5.95,0,20.24,7.14,4.76,1.19,1.19,2.38,4.76,1.19,3.57,1.19,1.19,1.19,14.29,0,1.19,0,4.76,8.33,3.57,0,0,1.19,2.38,1.19,4.76,2.38,1.19,1.19,1.19,0,0,0,1.19,13.1,8.33,1.19,2.38,1.19,0,14.29,2.38,1.19,11.9,2.38,5.95,3.57,3.57,0,0,0,0,0,2.38,0,2.38,0,0,0,20.24,5.95,4.76,0,0,0,0,0,4.76,0,0,4.76,29,3.82,-1,"SAK",NA,89
153,"It is the band’s Christmas party and all the bandmembers are sitting around talking, eating, and some dancing. I am seated with two other people, my best friend and his girlfriend. I am looking a bit confused and awkward because the two of them clearly look like they want to be alone, but there are no seats left for me to go to. They are basically huddled together at one end of the small ta*** and I am on the other end, sort of at the edge of my seat. My eyes keep **hunting** around for a chance to get out of the situation, but I just keep sitting there, saying nothing.",75.78,46.43,69.78,13.64,22.4,16.07,92.86,58.93,13.39,10.71,7.14,0,0,0.89,2.68,2.68,8.04,16.96,7.14,6.25,7.14,1.79,20.54,2.68,1.79,0,2.68,2.68,4.46,1.79,2.68,1.79,0,0.89,11.61,0,1.79,0,0.89,11.61,0,0.89,0.89,3.57,2.68,3.57,4.46,2.68,0.89,0,1.79,0.89,0,0,0.89,7.14,4.46,0.89,1.79,1.79,0,0.89,12.5,0,15.18,1.79,10.71,2.68,0,2.68,0,0,0.89,0,0,0,0,0,0,0,17.86,4.46,6.25,0,0,0,0,0,0,0.89,0,6.25,28,19.29,1,"SAK",NA,112
157,"It was my first day at a new high school. The bell rang for lunch and I asked someone where the cafeteria was.  Then I got my lunch from home and went to find the cafeteria. Before I walked in I could see inside through the 2 small windows on the double doors that led to the cafeteria. The room seemed small to me, but the crowd seemed huge. I walked in and there was a lot of activity going on inside and it was very loud. I looked around searching for any familiar face, but I couldn’t find one. Then I searched for tables with empty chairs. I asked people at 3 different tables if I could sit with them, but they said the chairs were saved. So, I had to leave the cafeteria and eat outside alone.",80.16,19.41,99,8.56,13.9,10.07,93.53,56.83,14.39,11.51,10.07,0,0,0,1.44,2.88,8.63,16.55,6.47,3.6,8.63,0.72,19.42,6.47,1.44,0.72,3.6,2.16,1.44,0,1.44,0,0,1.44,5.76,0,0,0,0,11.51,2.88,0.72,2.88,4.32,0,3.6,5.04,2.88,2.16,0,5.76,0.72,0,0,5.04,5.04,0,1.44,2.88,0.72,0,12.95,4.32,2.16,22.3,4.32,13.67,4.32,0.72,2.88,2.88,0,0,0,0,0,0,0,0,0,10.79,7.19,2.88,0,0,0,0,0,0,0.72,0,0,40,21.37,-1,"SAK",NA,139
159,"I remember going to one cheesy h.s. dance It was uncomfortable because no matter how many people were there the room always felt empty. I got there earlier than my friends so I was by myself. It was uncomfortable because I knew people their but no one well enough to hang around. I just kept scurrying from place to place trying to look like I was preoccupied. I was to shy and nerve-wracked to actually try and interact w/ others. I hung around the phone pretending I had to make a phone call. It was a long line. When I got on the phone I called people who I knew wouldn’t be home.",30.03,27.14,95.68,2.58,12.78,12.17,92.17,55.65,17.39,13.04,12.17,0,0,0,0.87,4.35,4.35,12.17,8.7,8.7,6.96,2.61,20.87,3.48,2.61,2.61,1.74,0.87,4.35,0.87,3.48,2.61,0,0.87,12.17,0,0.87,0,0,14.78,4.35,3.48,0.87,1.74,0.87,3.48,4.35,0.87,2.61,0.87,1.74,0.87,0,0,0.87,6.96,2.61,2.61,0,1.74,0,14.78,4.35,0.87,12.17,2.61,6.96,2.61,0,0.87,1.74,0,0,0,1.74,0,0.87,0,0.87,0,10.43,8.7,0,0,0,0,0,0.87,0,0.87,0,0,29,2.16,-1,"SAK",NA,113
163,"This happened after a graded math test paper had been given back to the students (me and my classmates). The test was usually pretty difficult, so the mean is quite low. However, a few of my classmates and I always did well on these tests. But the awkward thing is that I usually didn’t want others to know my grade. This is not because I was modest or whatsoever. This is just because I figured out sometimes when I let my classmates whose grades were low know my high grade, they would think I was kind of different from them. In short, they would envy me. In order to avoid isolation, I usually mentioned my grade as ok and didn’t let them to see my paper though they might have guessed that I did get an actually good grade.",6.22,8.44,98.01,4.13,17.25,15.94,98.55,64.49,22.46,15.94,12.32,0,0,0,3.62,6.52,5.07,8.7,14.49,7.97,8.7,2.17,21.74,5.8,2.17,1.45,0,0.72,7.97,2.9,5.07,1.45,0.72,2.17,7.97,0,2.17,0,0,21.74,3.62,1.45,2.17,7.25,0.72,7.25,0.72,0.72,0,0,0,0,0,0,0,6.52,0,0,3.62,1.45,1.45,9.42,8.7,0.72,12.32,0,6.52,5.8,11.59,0,0,0,0,0,1.45,0,0,0.72,0.72,0,12.32,5.8,3.62,0,0,0,0,0,0,1.45,1.45,0,36,-12.02,-1,"SAK",NA,139
164,"I was at a track meet with some other teammates just talking between events. I was a senior and there was a sophomore who apparently had a crush on me. He repeatedly asked me while we were sitting there to ask him to the Sadie Hawkins dance. I didn’t want to, so I said no. Anyway, I was sitting on a railing, he was sitting next to me, and a friend of mine was sitting next to me on the other side. We were looking out at the track. He was smiling and joking but I could tell he was also serious. When I picture it, there aren’t other people really close by, but there are a lot of people in the building, The other people are just a blur. I can see all of our track stuff below us, the shape of the building, and the way I was sitting on the railing.",43.68,50,82.57,37.25,17.11,12.99,92.86,68.83,19.48,14.94,9.09,2.6,0,3.25,0,4.55,11.04,13.64,11.69,7.79,6.49,1.95,20.13,1.95,0,1.3,0,1.95,1.95,1.3,0.65,0,0,0,14.29,0,0.65,0,3.25,10.39,0,0,1.3,2.6,0.65,5.84,2.6,1.95,0.65,0,0,0,0,0,0,6.49,5.19,0.65,1.3,0,0,9.74,5.84,0,16.23,0.65,11.69,3.9,1.95,2.6,0,0,0,0,0.65,0,0,0,0,0.65,12.99,5.84,5.84,0,0,0,0,0,0,1.3,0,0,26,7.27,-1,"SAK",NA,154
180,"The girl is wearing a black sweater and purple skirt and black loafers. She leans over the shoulder of a boy with blond hair, wearing a green sweater. She looks nervous and her cheeks are pink with embarrassment. There are crutches on the floor next to the folding metal chair where he is sitting; it’s also a cafeteria, and the lights are off. The boy is shaking his head; his forehead is wrinkled. No one is left in the cafeteria and the hallway outside is noisy with students returning home.",85.72,84.14,1,1.03,15,22.22,87.78,52.22,7.78,6.67,0,0,0,6.67,0,1.11,13.33,11.11,11.11,3.33,6.67,1.11,16.67,5.56,0,1.11,1.11,0,3.33,0,3.33,3.33,0,0,11.11,0,0,4.44,5.56,0,0,0,0,0,0,0,8.89,7.78,1.11,0,11.11,8.89,0,0,2.22,2.22,0,0,2.22,0,0,1.11,12.22,0,12.22,0,10,2.22,1.11,2.22,1.11,0,0,0,0,0,0,0,0,0,12.22,6.67,2.22,0,2.22,0,0,0,0,1.11,0,0,40,24.44,1,"SAK",NA,90
194,"I was standing at my locker getting ready to leave school when one of my guy friends walked up to me. He handed me a flower and asked me if I wanted to go out with him. I stood there, not saying anything for a long time. I wasn’t sure if he meant on a date or just as friends, so I asked him. He didn’t know how to respond. Finally I realized he meant on a date. I dint like him so I didn’t know how to respond. I said I’d let him know later. He turned bright red, said “ok” and walked away.",19.82,31.71,97.09,89.5,11.67,8.57,95.24,60.95,23.81,22.86,14.29,0,0,8.57,0,0.95,3.81,15.24,5.71,7.62,10.48,3.81,23.81,2.86,2.86,2.86,0.95,0,3.81,3.81,0,0,0,0,20,0,4.76,0,9.52,17.14,5.71,1.9,2.86,3.81,0.95,6.67,4.76,1.9,2.86,0,0,0,0,0,0,3.81,1.9,0,0.95,0.95,0,15.24,4.76,0,17.14,4.76,6.67,5.71,0.95,0,0,0,0,0,0.95,0,0,0.95,0,0,17.14,8.57,2.86,0,0,0,0,0,1.9,3.81,0,0,66,-2.38,-1,"SAK",NA,105
195,"He met his English teacher on the stairs of the teacher’s common room, he looked awkward and guilty of something, and then started to apologize profusely. The teacher looks ******ed and after saying something to him, walks away. He then drops his shoulders and walks away, looking somewhat depressed.",81.09,97.92,7.24,1,16.33,28.57,91.84,53.06,16.33,12.24,0,0,0,12.24,0,4.08,6.12,16.33,0,2.04,12.24,0,16.33,6.12,2.04,0,0,2.04,6.12,0,6.12,4.08,0,2.04,20.41,0,0,0,12.24,6.12,0,0,0,6.12,0,0,8.16,6.12,2.04,0,2.04,2.04,0,0,0,10.2,2.04,0,8.16,0,0,6.12,6.12,4.08,24.49,4.08,10.2,8.16,6.12,0,2.04,0,0,0,0,0,0,0,0,0,28.57,6.12,8.16,0,0,0,0,0,0,2.04,0,12.24,97,21.85,1,"SAK",NA,49
201,"There were 4 or 5 of my friends studying in one of my friend’s basement. Previously I had told some of them an embarrassing detail about my friend Adam hoping he would never find out. Unfortunately Sam chose this moment to start making fun of Adam for it. Adam fanatically denied it and promptly left the room to sulk. But not before he gave me a horrendously dirty look.",73.77,38.58,45.29,25.77,13.8,14.49,79.71,49.28,15.94,11.59,7.25,0,0,2.9,1.45,4.35,4.35,15.94,4.35,4.35,4.35,2.9,17.39,4.35,1.45,0,4.35,1.45,5.8,2.9,2.9,1.45,0,0,11.59,0,2.9,0,2.9,13.04,1.45,1.45,2.9,4.35,1.45,4.35,1.45,1.45,0,0,0,0,0,0,0,4.35,2.9,0,1.45,0,0,10.14,4.35,1.45,13.04,0,5.8,7.25,1.45,1.45,1.45,0,0,0,0,0,0,0,0,0,8.7,7.25,0,0,0,0,0,0,0,1.45,0,0,36,18.4,1,"SAK",NA,69
230,"In the image, both myself and my student (a non-native English speaker) are sitting at a table in the library, across from each other. I seem to be having trouble communicating with my, both from my facial expression and my heavy use of body language. At the other end of the table, my student seems to be just as clueless and distracted.",94.25,17.04,98.01,7.46,21,19.05,90.48,57.14,14.29,11.11,11.11,0,0,0,0,3.17,9.52,20.63,6.35,1.59,6.35,0,12.7,3.17,1.59,0,0,4.76,3.17,0,1.59,0,0,0,4.76,0,0,0,0,9.52,4.76,1.59,0,3.17,0,3.17,4.76,1.59,1.59,1.59,4.76,3.17,0,0,1.59,6.35,1.59,0,3.17,0,1.59,0,9.52,0,14.29,0,12.7,1.59,4.76,1.59,0,0,0,0,0,0,0,0,0,0,15.87,4.76,6.35,0,0,0,0,1.59,0,0,3.17,0,23,31.58,1,"SAK",NA,62
258,"I see myself talking in fragments that are hard to understand but I can see what I was saying. I was sitting @ a desk during a club meeting and one of the officer asked me a question about the UCLA Course Booklet I had and how I got it. The officer asked a simple Question and I answered. As an outsider, all it sounded like was fragments and a little bit of accent.",65.11,39.19,72.89,25.77,18.25,19.18,94.52,57.53,17.81,12.33,12.33,0,0,0,0,5.48,12.33,10.96,8.22,2.74,9.59,0,19.18,4.11,2.74,2.74,1.37,2.74,0,0,0,0,0,0,10.96,0,0,0,0,9.59,5.48,1.37,0,2.74,1.37,1.37,6.85,2.74,2.74,1.37,0,0,0,0,0,5.48,1.37,0,2.74,1.37,0,9.59,6.85,0,5.48,0,4.11,1.37,5.48,2.74,0,0,0,0,0,0,0,0,0,0,8.22,5.48,1.37,0,0,0,0,0,0,0,0,1.37,11,14.93,1,"SAK",NA,74
262,"I’m standing in a high school cafeteria during my boyfriend’s semi-formal. He’s introducing me to a whole group of friends whom I haven’t met before. I’m trying to be friendly but I feel very intimidated by all of them. I feel like I am being scrutinized by all of them to determine whether I’m a good enough for my boyfriend. I feel very awkward because I’m not sure how to act or what to say. I want them to like me, but I don’t have the confidence to be outgoing and relaxed about it.",27.85,14.37,90.09,93.02,15.67,18.09,93.62,63.83,23.4,20.21,15.96,0,0,1.06,3.19,3.19,4.26,18.09,12.77,4.26,7.45,3.19,22.34,3.19,2.13,4.26,0,4.26,9.57,6.38,2.13,1.06,1.06,0,14.89,0,4.26,0,3.19,19.15,4.26,2.13,1.06,2.13,4.26,6.38,4.26,0,1.06,3.19,1.06,0,0,0,1.06,10.64,6.38,2.13,2.13,2.13,0,1.06,19.15,0,4.26,0,2.13,2.13,1.06,2.13,0,0,0,0,0,0,0,0,0,0,17.02,6.38,1.06,0,0,0,0,1.06,0,8.51,0,0,39,1.28,-1,"SAK",NA,94
